CODIGO_CVM;DENOMINACAO_SOCIAL;DENOMINACAO_COMERCIAL;SETOR_ATIVIDADE;CNPJ;DATA_REGISTRO;DATA_CONSTITUICAO;DATA_CANCELAMENTO;MOTIVO_CANCELAMENTO;SITUACAO_REGISTRO
12920;CIA BRAS ANTIBIOTICOS;CIBRAN;FARMACÊUTICOS E HIGIENE;29075363000178;1986-07-24;1974-08-09;2010-01-04;Cancelamento de ofício - IN CVM 480/09;CANCELADA
2852;CIA BRAS MATERIAIS COBRACO;COBRACO;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;33316100000180;1968-11-11;;1987-05-29;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
2879;CIA BRAS PLASTICOS MONSANTO;MONSANTO;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;61079315000160;1971-11-18;;1985-10-16;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
2887;CIA BRAS PROJETOS OBRAS CBPO;CBPO;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;61156410000110;1982-08-23;;1993-01-14;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
2844;CIA BRASILEIRA DE ESTRUTURAS METALICAS;CIBRESME;METALURGIA E SIDERURGIA;7203144000194;1982-11-04;1962-02-08;2007-11-13;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
2909;CIA CACIQUE CAFE SOLUVEL;CACIQUE;ALIMENTOS;78588415000115;1977-07-20;1959-10-17;2015-03-23;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
16861;CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN;CASAN;SANEAMENTO E SERVIÇOS DE ÁGUA E GÁS;82508433000117;1998-02-06;1970-12-31;;;ATIVO
2917;CIA CERVEJARIA BRAHMA;BRAHMA;BEBIDAS E FUMO;33366980000108;1978-06-30;;2000-11-08;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
2925;CIA CERVEJARIA CUIABANA;CERVEJARIA CUIABANA;BEBIDAS E FUMO;3468832000125;1967-01-04;;1997-10-24;ELISÃO POR INCORPORAÇÃO;CANCELADA
2976;CIA CIMENTO ATOL;CIMENTO ATOL;EXTRAÇÃO MINERAL;9934407000160;1973-10-29;;1995-11-27;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
2992;CIA CIMENTO IPANEMA;CIMENTO IPANEMA;EXTRAÇÃO MINERAL;60869302000122;1978-05-24;;1991-02-06;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
3000;CIA CIMENTO PORTL GAUCHO;CIMENTO VOTORAN;EXTRAÇÃO MINERAL;89724017000103;1970-03-17;;1993-04-12;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
3018;CIA CIMENTO PORTL PARAISO;CIMENTO PARAISO;EXTRAÇÃO MINERAL;33160318000199;1970-01-07;;1997-03-31;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3026;CIA CIMENTO SALVADOR;CIMENTO SALVADOR;EXTRAÇÃO MINERAL;15218084000101;1972-11-21;;1988-06-24;ELISÃO POR INCORPORAÇÃO;CANCELADA
2941;CIA COMERCIAL BORBA CAMPO;BORDA DO CAMPO;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;61422663000199;1969-09-10;;2006-11-22;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
2950;CIA COML SCHRADER;COMERCIAL SCHRADER;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;82636887000173;1977-07-20;;2000-09-28;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
12491;CIA CONSTRUTORA PEDERNEIRAS;PEDERNEIRAS;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;33034901000153;1985-10-31;;2006-03-21;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
19968;CIA DE AGUA E ESGOTO DA PARAIBA;CAGEPA;SANEAMENTO E SERVIÇOS DE ÁGUA E GÁS;9123654000187;2006-02-17;1966-12-31;2011-06-24;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
18708;CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA;CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA;EMP. ADM. PARTICIPAÇÕES - SEM SETOR PRINCIPAL;1938783000111;2000-07-26;1997-05-14;;;ATIVO
19240;CIA DE RECUPERAÇÃO SECUNDÁRIA;CIA DE RECUPERAÇÃO SECUNDÁRIA;PETRÓLEO E GÁS;4652792000130;2002-02-07;2001-06-01;2012-06-28;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
12025;CIA DES ARAGUAIA CODEARA;CODEARA;AGRICULTURA (AÇUCAR, ALCOOL E CANA);3631397000108;1984-10-30;;1992-05-18;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3034;CIA DESENVOLVIMENTO AGRO PECUARIA INDUSTRIAL MIN EST PA;PROPARA;AGRICULTURA (AÇUCAR, ALCOOL E CANA);5770003000128;1977-07-20;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
3174;CIA DOCAS DE IMBITUBA;COMPANHIA DOCAS DE IMBITUBA;SERVIÇOS DE TRANSPORTE E LOGÍSTICA;84208123000102;1977-07-20;1923-01-02;;;ATIVO
14524;CIA ELETRICIDADE DA BAHIA;COELBA;ENERGIA ELÉTRICA;15139629000194;1994-07-28;1966-09-22;;;ATIVO
14869;CIA ENERG CEARA - COELCE;CIA ENERG CEARA - COELCE;ENERGIA ELÉTRICA;7047251000170;1995-06-13;1971-08-30;;;ATIVO
2453;CIA ENERG MINAS GERAIS - CEMIG;CEMIG;ENERGIA ELÉTRICA;17155730000164;1971-06-30;1952-05-22;;;ATIVO
14362;CIA ENERGÉTICA DE PERNAMBUCO - CELPE;CELPE;ENERGIA ELÉTRICA;10835932000108;1994-04-29;1965-02-10;;;ATIVO
18139;CIA ENERGÉTICA DO RIO GRANDE DO NORTE;COSERN;ENERGIA ELÉTRICA;8324196000181;1999-01-04;1961-12-14;;;ATIVO
16900;CIA ENERGETICA MERIDIONAL;CEM;ENERGIA ELÉTRICA;2201268000117;1998-02-26;1997-10-22;2008-03-28;ELISÃO POR INCORPORAÇÃO;CANCELADA
16373;CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE;CEDAE;SANEAMENTO E SERVIÇOS DE ÁGUA E GÁS;33352394000104;1997-07-28;1975-08-01;;;ATIVO
20648;CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA;CEEE-D;ENERGIA ELÉTRICA;8467115000100;2007-04-17;2006-12-01;;;ATIVO
3204;CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA;CEEE-GT;ENERGIA ELÉTRICA;92715812000131;1970-01-07;1963-12-19;;;ATIVO
3220;CIA FABRICA YOLANDA;FABRICA YOLANDA;TEXTIL E VESTUÁRIO;10783777000123;1972-03-24;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
3239;CIA FABRIL MASCARENHAS;CIA. FABRIL MASCARENHAS;TEXTIL E VESTUÁRIO;16718231000175;1982-11-26;1912-04-26;2006-04-26;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
3247;CIA FERRO BRASILEIRO;FERRO BRASILEIRO;METALURGIA E SIDERURGIA;18977124000197;1968-07-16;;1991-12-26;ELISÃO POR INCORPORAÇÃO;CANCELADA
3069;CIA FERRO LIGAS BAHIA FERBASA;FERBASA;METALURGIA E SIDERURGIA;15141799000103;1961-02-28;1961-02-23;;;ATIVO
3255;CIA FIAÇÃO TECELAGEM PARA MINAS;FIACAO PARA DE MINAS;TEXTIL E VESTUÁRIO;23116551000110;1969-12-04;;2010-01-04;Cancelamento de ofício - IN CVM 480/09;CANCELADA
3280;CIA GERAL DE INDUSTRIAS;GERAL DE INDUSTRIAS;METALURGIA E SIDERURGIA;92659325000107;1969-09-30;1914-09-30;2008-03-18;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
3301;CIA HERING;CIA HERING;TEXTIL E VESTUÁRIO;82639139000144;1966-06-17;;1999-04-30;ELISÃO POR INCORPORAÇÃO;CANCELADA
14761;CIA HERING;CIA HERING;TEXTIL E VESTUÁRIO;78876950000171;1995-01-26;1985-08-19;;;ATIVO
3328;CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;CHESF;ENERGIA ELÉTRICA;33541368000116;1969-12-19;1948-03-15;;;ATIVO
3433;CIA INDL AGRIC SANTA CECILIA;SANTA CECILIA;AGRICULTURA (AÇUCAR, ALCOOL E CANA);33433822000115;1977-07-20;;2001-11-29;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
3379;CIA INDL AMAZONENSE;CIA INDL AMAZONENSE;METALURGIA E SIDERURGIA;4384319000119;1971-08-20;;1998-07-10;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3468;CIA INDL MERC ARTEF FERRO;CIMAF;METALURGIA E SIDERURGIA;61074506000130;1969-12-03;;1999-09-09;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
3441;CIA INDL MERC PAOLETTI;PAOLETTI;ALIMENTOS;56969355000148;1977-07-20;;1992-02-14;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
3476;CIA INDL MICHELETTO;MICHELETTO;METALURGIA E SIDERURGIA;7285448000148;1982-12-17;;1988-05-09;ELISÃO POR TRANSFORMAÇÃO;CANCELADA
3514;CIA INDL RIO GUAHYBA;RIO GUAHYBA;TEXTIL E VESTUÁRIO;92779438000138;1976-01-06;;1993-07-12;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3530;CIA INDL SAO PAULO RIO CISPER;CISPER;EXTRAÇÃO MINERAL;33174145000168;1980-07-10;;1988-05-03;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3549;CIA INDL SCHLOSSER SA - EM RECUPERAÇÃO JUDICIAL;SCHLOSSER TECIDOS;TEXTIL E VESTUÁRIO;82981929000103;1985-06-28;21/10/1833;;;ATIVO
3360;CIA INDUSTRIAL AGROPECUARIA CONAPE;CONAPE AGROPECUARIA;ALIMENTOS;7785306000140;1977-07-20;;2005-11-01;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
3387;CIA INDUSTRIAL BELO HORIZONTE;CIA INDL B HORIZONTE;TEXTIL E VESTUÁRIO;17161316000168;1969-08-08;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
13811;CIA INDUSTRIAL BRASILEIRA ALIMENTOS;CBR;ALIMENTOS;7998164000107;1991-04-26;;2005-03-22;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
3344;CIA INDUSTRIAL DOX;IMPORTADORA DOX;METALURGIA E SIDERURGIA;33041120000196;1982-09-20;;1997-08-07;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
3450;CIA INDUSTRIAL ITAUNENSE - EM RECUPERAÇÃO JUDICIAL;INDL ITAUNENSE;METALURGIA E SIDERURGIA;21254073000180;1969-04-02;1911-05-01;;;SUSPENSO(A) - DECISÃO ADM
3425;CIA INDUSTRIAL PELES COUROS;CINPELCO;TEXTIL E VESTUÁRIO;7197411000168;1974-10-17;;2005-03-22;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
3522;CIA INDUSTRIAL SANTA MATILDE;SANTA MATILDE;MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS;19711282000163;1980-06-28;;2010-01-04;Cancelamento de ofício - IN CVM 480/09;CANCELADA
15792;CIA INTER-ATLANTICO PARTICIPS;CIA INTER-ATLANTICO;EMP. ADM. PARTICIPAÇÕES;1222069000122;1996-10-10;;1997-03-03;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3557;CIA INTERNACIONAL FIDUCIARIA;INTER FIDUCIARIA;EMP. ADM. PARTICIPAÇÕES;42584060000149;1976-06-05;;1989-05-12;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3093;CIA INVEST DO PARA;INV DO PARA;EMP. ADM. PARTICIPAÇÕES;4904199000133;1979-12-29;;1986-11-10;ELISÃO POR INCORPORAÇÃO;CANCELADA
14745;CIA INVESTS LATINOAMERICANA;LATINOAMERICANA;EMP. ADM. PARTICIPAÇÕES;189469000110;1995-01-06;;2003-01-13;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
3573;CIA IOCHPE;CIA IOCHPE;EMP. ADM. PARTICIPAÇÕES;92753367000102;1980-06-23;;1993-08-03;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3603;CIA LECO DE PRODS ALIMENTICIOS;LECO;ALIMENTOS;60434487000142;1981-08-17;1974-12-22;2009-02-20;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
12947;CIA LONDRIMALHAS HERINGER INDUSTRIA E COMERCIO;LONDRIMALHAS;TEXTIL E VESTUÁRIO;78597697000117;1986-07-31;;2007-08-07;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
3620;CIA MADEIREIRA SAO MIGUEL;COMIG;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;4971941000123;1973-10-19;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
3638;CIA MARANHENSE REFRIGERANTES;REFRIMA;BEBIDAS E FUMO;6272199000193;1971-09-28;1966-06-30;2010-05-19;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
3646;CIA MATS SULFUROSOS MATSULFUR;MATSULFUR;EXTRAÇÃO MINERAL;22664890000179;1972-11-21;;2002-11-30;ELISÃO POR INCORPORAÇÃO;CANCELADA
12246;CIA MINUANO DE ALIMENTOS;MINUANO;ALIMENTOS;91154690000199;1985-01-23;;1991-08-13;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
3735;CIA NAC FRIGORIFICOS CONFRIO;CONFRIO;PESCA;71039119000116;1977-07-20;;1989-04-14;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
15555;CIA NACIONAL DE ALCALIS;ALCALIS;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;33098112000186;1996-05-15;1943-07-20;2010-01-04;Cancelamento de ofício - IN CVM 480/09;CANCELADA
3727;CIA NACIONAL ESTAMPARIA CIANE;CIANE;TEXTIL E VESTUÁRIO;71444582000143;1982-08-11;;2010-01-04;Cancelamento de ofício - IN CVM 480/09;CANCELADA
3760;CIA NAVEGACAO LLOYD BRASILEIRO;LLOYDBRAS;SERVIÇOS DE TRANSPORTE E LOGÍSTICA;33630120000121;1977-07-20;;1997-10-24;ELISÃO POR LIQUIDAÇÃO;CANCELADA
3778;CIA NITROQUIMICA BRASILEIRA;NITRO QUIMICA;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;61150348000150;1935-09-20;;1990-08-03;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3786;CIA PARAIBA CIM PORTL CIMEPAR;CIMEPAR;EXTRAÇÃO MINERAL;10804300000187;1971-10-19;;1995-11-27;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
16683;CIA PAULISTA DE ADM DE ATIVOS;CPA;EMP. ADM. PARTICIPAÇÕES;1596401000119;1997-12-04;;1999-11-04;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
3832;CIA PAULISTA DE LAMINACAO;COPALAM;METALURGIA E SIDERURGIA;57484495000199;1950-09-29;;1988-04-27;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
3794;CIA PAULISTA ENERGIA ELETRICA;PAULISTA DE ENERGIA;ENERGIA ELÉTRICA;61015582000174;1972-01-20;;2001-03-16;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
3816;CIA PAULISTA FERTILIZANTES;COPAS;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;61087912000137;1969-06-11;1945-12-28;2007-01-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
3107;CIA PESQS RECURSOS MINERAIS;CPRM;SERVICOS DIVERSOS;91652000189;1973-11-22;;1997-07-24;ELISÃO POR TRANSFORMAÇÃO;CANCELADA
18899;CIA PETROLIFERA MARLIM;COMPANHIA PETROLÍFERA MARLIM;PETRÓLEO E GÁS;2854397000104;2001-03-07;1998-11-03;2009-08-17;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
19275;CIA PIRATININGA DE FORÇA E LUZ;CPFL - PIRATININGA;ENERGIA ELÉTRICA;4172213000151;2002-04-18;2000-12-01;;;ATIVO
3867;CIA PNEUS TROPICAL;PNEUS TROPICAL;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;15213374000162;1977-07-20;;1991-09-25;ELISÃO POR LIQUIDAÇÃO;CANCELADA
2631;CIA PRODUTORES ARMS GERAIS;PRODUTORES ARMAZENS;SERVIÇOS DE TRANSPORTE E LOGÍSTICA;58143967000102;1977-07-20;;1994-04-15;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3875;CIA PROGRESSO INDUSTRIAL BRASIL FABRICA BANGU;FABRICA BANGU;TEXTIL E VESTUÁRIO;33000035000180;1966-06-29;;2010-01-04;Cancelamento de ofício - IN CVM 480/09;CANCELADA
19429;CIA PROVINCIA DE SECURITIZAÇÃO CRED IMOB;CIA PROVINCIA DE SECURITIZAÇÃO CRED IMOB;SECURITIZAÇÃO DE RECEBÍVEIS;4200649000107;2003-08-21;2000-10-18;;;ATIVO
3883;CIA QUIMICA METACRIL;METACRIL;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;13837489000100;1977-10-20;;1992-11-26;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
3905;CIA RIOGRANDENSE DE ADUBOS;ADUBOS CRA;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;92691120000109;1950-08-17;;1990-12-19;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
16748;CIA RIOGRANDENSE DE SANEAMENTO;CORSAN;SANEAMENTO E SERVIÇOS DE ÁGUA E GÁS;92802784000190;1997-12-19;1965-12-21;;;ATIVO
3913;CIA RIOGRANDENSE TELECOMUNICAÇÕES;CRT;TELECOMUNICAÇÕES;92794486000103;1969-03-21;;2000-12-28;ELISÃO POR INCORPORAÇÃO;CANCELADA
3930;CIA SALINAS PERYNAS;SALINAS PERYNAS;EXTRAÇÃO MINERAL;33035759000169;1982-08-10;;1986-07-16;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
14443;CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO;SABESP;SANEAMENTO E SERVIÇOS DE ÁGUA E GÁS;43776517000180;1994-06-27;1973-09-06;;;ATIVO
3948;CIA SANTISTA DE PAPEL;SANTISTA DE PAPEL;PAPEL E CELULOSE;61360434000197;1977-07-20;;2001-03-22;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
3115;CIA SEGUROS ALIANCA BAHIA;COMPANHIA DE SEGUROS ALIANÇA DA BAHIA;SEGURADORAS E CORRETORAS;15144017000190;1977-07-20;1900-01-15;;;ATIVO
3123;CIA SEGUROS AMER SUL YASUDA;SEGUROS AMER DO SUL;SEGURADORAS E CORRETORAS;60405925000144;1977-07-20;;1992-03-06;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3131;CIA SEGUROS BAHIA;SEGUROS DA BAHIA;SEGURADORAS E CORRETORAS;15104490000143;1977-07-20;;1997-07-02;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3140;CIA SEGUROS MINAS BRASIL;MINAS-BRASIL SEGURADORA;SEGURADORAS E CORRETORAS;17197385000121;1977-07-20;1938-05-03;2009-10-14;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
12475;CIA SEGUROS RIO BRANCO;SEGUROS RIO BRANCO;SEGURADORAS E CORRETORAS;33432139000163;1985-10-21;;1990-01-16;ELISÃO POR INCORPORAÇÃO;CANCELADA
3956;CIA SERVICOS ENGA SERVIENGE;SERVIENGE;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;33158031000124;1977-07-20;;1998-01-08;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3999;CIA SID ALAGOAS COMESA;COMESA;METALURGIA E SIDERURGIA;12287314000104;1982-09-29;;1994-03-18;ELISÃO POR INCORPORAÇÃO;CANCELADA
4014;CIA SID NORDESTE;COSINOR;METALURGIA E SIDERURGIA;10806057000136;1972-08-09;;1995-03-21;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
4049;CIA SID PAINS;SIDERURGICA PAINS;METALURGIA E SIDERURGIA;20141321000113;1971-01-06;;1997-06-30;ELISÃO POR INCORPORAÇÃO;CANCELADA
3972;CIA SIDERURGICA AMAZONIA;SIDERAMA;METALURGIA E SIDERURGIA;4561023000126;1970-10-20;;1999-09-22;LIQUIDAÇÃO EXTRAJUDICIAL;CANCELADA
4006;CIA SIDERURGICA MOGI CRUZES;COSIM;METALURGIA E SIDERURGIA;61045381000110;1971-10-07;;2005-03-22;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
4030;CIA SIDERURGICA NACIONAL;CSN;METALURGIA E SIDERURGIA;33042730000104;1943-02-26;1941-04-09;;;ATIVO
4073;CIA T JANER COM IND;T JANER;COMÉRCIO (ATACADO E VAREJO);33000076000176;1977-07-20;;1991-04-09;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
3158;CIA TECIDOS NORTE DE MINAS - COTEMINAS;COTEMINAS;TEXTIL E VESTUÁRIO;22677520000176;1971-02-11;1967-12-05;;;ATIVO
4081;CIA TECIDOS SANTANENSE;SANTANENSE;TEXTIL E VESTUÁRIO;21255567000189;1984-12-20;23/10/1891;;;ATIVO
18422;CIA TECNICA DE ENGENHARIA ELETRIC A;ALUSA;CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO;60830833000101;1999-09-08;1960-09-09;2008-01-15;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
4103;CIA TELEF BORDA DO CAMPO;CTBC;TELECOMUNICAÇÕES;57486177000167;1977-10-20;;1999-11-30;ELISÃO POR INCORPORAÇÃO;CANCELADA
4090;CIA TELEF MELHOR RESIST;CTMR;TELECOMUNICAÇÕES;92195189000133;1981-05-20;;2000-02-28;ELISÃO POR INCORPORAÇÃO;CANCELADA
3166;CIA TELEFONES DO RJ CETEL;CETEL;TELECOMUNICAÇÕES;33460809000155;1968-09-11;;1990-01-02;ELISÃO POR INCORPORAÇÃO;CANCELADA
15830;CIA TERRAS BONSUCESSO;CIA TERRAS BONSUCESS;EMP. ADM. PARTICIPAÇÕES;1447243000135;1996-10-22;;1999-05-13;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
4120;CIA TEXTIL CASTANHAL;TEXTIL DE CASTANHAL;TEXTIL E VESTUÁRIO;5389812000194;1971-10-19;;1999-03-08;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
4154;CIA THERMAS RIO QUENTE;CIA THERMAS DO RIO QUENTE;HOSPEDAGEM E TURISMO;1540533000129;1973-12-27;;2004-07-14;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
4162;CIA UNIAO SEGUROS GERAIS;UNIAO DE SEGUROS;SEGURADORAS E CORRETORAS;92682038000100;1977-07-20;;1998-11-09;ATENDIMENTO AS NORMAS DA INSTR CVM 229/95;CANCELADA
4197;CIA VINICOLA RIO GRANDENSE;VINICOLA RIOGRAND;BEBIDAS E FUMO;92690643000122;1966-05-02;;1993-11-29;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
4200;CIA WETZEL INDL;WETZEL;QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA;84684950000172;1970-11-24;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
2860;CIA. BRAS PETRÓLEO IPIRANGA;PETROLEO IPIRANGA;PETRÓLEO E GÁS;33069766000181;1968-06-27;1959-05-02;2008-07-17;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
2984;CIA. DE CIMENTOS DO BRASIL;-;EXTRAÇÃO MINERAL;10919934000185;1971-12-22;;2004-04-07;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
18627;CIA. DE SANEAMENTO DO PARANÁ - SANEPAR;SANEPAR;SANEAMENTO E SERVIÇOS DE ÁGUA E GÁS;76484013000145;2000-03-10;1963-01-23;;;ATIVO
16616;CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO;CEG;SANEAMENTO E SERVIÇOS DE ÁGUA E GÁS;33938119000169;1997-11-17;1969-05-28;;;ATIVO
3336;CIA. IGUAÇU DE CAFÉ SOLÚVEL;CIA. IGUAÇU DE CAFÉ SOLÚVEL;ALIMENTOS;76255926000190;1977-07-20;1967-06-22;2014-10-09;Cancelamento Voluntário - IN CVM 480/09;CANCELADA
18287;CIBRASEC CIA BRASILEIRA DE SECURITIZAÇÃO;CIBRASEC;SECURITIZAÇÃO DE RECEBÍVEIS;2105040000123;1999-05-31;1997-07-31;;;ATIVO
3417;CICA SA;CICA;ALIMENTOS;50930098000154;1977-07-20;;1994-01-27;ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78;CANCELADA
13234;CICADE CURTUME SA;CICADE CURTUME;TEXTIL E VESTUÁRIO;91623892000132;1987-09-22;1987-05-22;2007-01-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
7021;CICANORTE IND DE CONS ALIM SA;CICANORTE IND DE CONS ALIM SA;ALIMENTOS;10790616000167;1978-03-28;;2006-05-22;ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02;CANCELADA
15571;CIDADELA TRUST RECEBIVEIS SA;CIDADELA TRUST;SECURITIZAÇÃO DE RECEBÍVEIS;1102817000133;1996-05-24;1996-02-23;2008-03-18;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
21733;CIELO S.A.;CIELO S.A.;INTERMEDIAÇÃO FINANCEIRA;1027058000191;2009-06-25;1995-11-23;;;ATIVO
4235;CIMBA SA INDUSTRIA E COMERCIO;CIMBA;METALURGIA E SIDERURGIA;15115520000117;1971-09-29;;2005-08-09;CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98;CANCELADA
4243;CIMENTO ARATU SA;CIMENTO ARATU;EXTRAÇÃO MINERAL;15847775000174;1969-09-08;;1995-12-08;ELISÃO POR INCORPORAÇÃO;CANCELADA
4251;CIMENTO CAUE SA;CIMENTO CAUE;EXTRAÇÃO MINERAL;17283599000110;1969-07-04;;1994-09-26;ATENDIMENTO AS NORMAS DA INSTR CVM 03/78;CANCELADA
